naslov,avtor,# novih poglavij,# novih besed,# poglavij,# besed,datum objave novega poglavja,datum prve objave,teden v katerem je bilo objavljeno novo poglavje,je quest,je zaključen
Unbound Para-Servant,Yuki no Yue,7,9300,7,9300,2019-03-21,2019-02-11,2019-03-16,True,False
We Are Worn,H341ZP1Z,1,7200,3,10000,2019-03-18,2019-03-14,2019-03-16,True,False
Another self insert,Axle,2,1500,2,1500,2019-03-09,2019-03-09,2019-03-09,False,False
Archer: Shards,Marshal Yenom,2,5900,2,5900,2019-03-09,2019-03-09,2019-03-09,False,False
Cernunnos,Neptune1,1,2100,1,2100,2019-03-09,2019-03-09,2019-03-09,False,False
The Golden Theater,FateOfFate,1,132,1,132,2019-03-10,2019-03-09,2019-03-09,False,False
A Hero or Something,kattoelijah,1,397,1,397,2019-03-09,2019-03-09,2019-03-09,False,False
Linking Worms (Ew),TheTwoMind,1,1000,1,1000,2019-03-10,2019-03-10,2019-03-09,False,False
Nanomachines and Tea,Ripperoo,2,4900,2,4900,2019-03-09,2019-03-09,2019-03-09,False,False
"So, I&apos;m a Spiderâ¦ Flat, &apos;What&apos;",throwaawy,5,7600,5,7600,2019-03-09,2019-03-09,2019-03-09,False,False
Teaser,JIN,1,931,1,931,2019-03-09,2019-03-09,2019-03-09,False,False
Unspeakable,Demented Frog Noise,1,2300,1,2300,2019-03-09,2019-03-08,2019-03-09,False,False
"Adapt,Improvise,Overcome Worm Quest",Belatordelux,1,448,1,448,2019-03-09,2019-03-08,2019-03-09,True,False
Fireline Intensity,Idiom Alpha,3,1400,3,1400,2019-03-09,2019-03-09,2019-03-09,True,False
"I am Fire, I am Death",Drakon,2,3400,2,3400,2019-03-09,2019-03-09,2019-03-09,False,True
A Mother&apos;s Wrath,Psychoghost,1,3200,1,3200,2019-03-09,2019-03-09,2019-03-09,False,True
The Twin Swords,Angeloid,3,7800,3,7800,2019-03-10,2019-02-24,2019-03-09,False,True
"Taylor Helbrass, Champion of Tzeentch",PencilMonkey,1,3000,2,6000,2019-03-09,2019-12-03,2019-03-09,False,False
Waterworks,SeerKing,1,5600,13,72000,2019-03-09,2016-03-18,2019-03-09,False,False
Amalgam,LordUltimus92,1,4500,4,7500,2019-03-09,2019-02-06,2019-03-09,False,False
Aspects,ManMagnificent,1,3700,13,50000,2019-03-09,2019-02-07,2019-03-09,False,False
August Bravery,JonBerry,2,3400,82,127000,2019-03-09,2019-09-17,2019-03-09,False,False
By One Sting,Vereor Nox,1,1200,21,24000,2019-03-09,2018-02-26,2019-03-09,False,False
Celestial Worm,Ack,1,10000,10,95000,2019-03-09,2019-08-16,2019-03-09,False,False
Cracked Quartz,Heaven's Chocolate,1,3900,2,6700,2019-03-09,2019-03-06,2019-03-09,False,False
Dakka,Hydra,1,5600,15,72000,2019-03-10,2019-03-26,2019-03-09,False,False
Forever Escalating,d4nte,1,1500,4,8400,2019-03-09,2019-02-11,2019-03-09,False,False
Glassbreaker,silverpower,2,9000,9,31000,2019-03-10,2019-02-28,2019-03-09,False,False
Greg Veder vs The World,ZFighter18,79,335000,79,335000,2019-03-09,2017-12-30,2019-03-09,False,False
Howl the Wolves,S0ngD0g13,1,4100,99,139000,2019-03-09,2017-10-22,2019-03-09,False,False
It Starts With One,Discreet,1,2800,9,20000,2019-03-09,2019-12-13,2019-03-09,False,False
Legatus,RagnarokAscendant,1,1900,16,24000,2019-03-09,2019-07-07,2019-03-09,False,False
Mad About You,Mondrae205,1,2800,3,8400,2019-03-09,2019-02-13,2019-03-09,False,False
Maid of the Pandemonium,thepingman,1,5100,5,24000,2019-03-09,2019-12-09,2019-03-09,False,False
Mirrored Eyes,FantasticalContrarian,12,43000,12,43000,2019-03-09,2019-10-24,2019-03-09,False,False
The New Kid is a Dinosaur,JeckParadox,1,1100,2,2000,2019-03-10,2019-03-03,2019-03-09,False,False
Nuka-Girl: The Lone Teleporter,Aurora Moon,6,16000,6,16000,2019-03-09,2019-02-16,2019-03-09,False,False
An Owl on the Loose,killaaxeman,1,3600,5,15000,2019-03-09,2019-02-01,2019-03-09,False,False
Please Like &amp; Subscribe,stabbyunicorn,1,2300,3,6900,2019-03-09,2019-03-04,2019-03-09,False,False
Rainbow Light of Destruction,WastingPixies,1,863,5,3000,2019-03-09,2019-02-10,2019-03-09,False,False
Revenant,Songless,1,4200,57,208000,2019-03-09,2015-11-28,2019-03-09,False,False
Running Home,ericwinter,1,1900,12,39000,2019-03-09,2019-10-05,2019-03-09,False,False
Save The Bay: Fixing the City with Organized Crime,Stravick Ovmahn,5,9400,126,239000,2019-03-09,2019-04-20,2019-03-09,False,False
Siren Song,AnOutrageousAmountOfOwls,1,7400,33,159000,2019-03-09,2019-04-11,2019-03-09,False,False
Snuggles the Symbiote,Rater202,14,55000,14,55000,2019-03-09,2018-02-24,2019-03-09,False,False
Space Ninja Summer Camp,Sleethr,1,6500,20,141000,2019-03-09,2018-01-03,2019-03-09,False,False
A Stalker&apos;s change of Fate,Theonewhoasks,1,782,3,2100,2019-03-09,2019-02-02,2019-03-09,False,False
Strike the Worm,Angeloid,2,0,3,3800,2019-03-09,2019-03-08,2019-03-09,False,False
Taylor&apos;s Alternate,mp3_1415player,5,56000,15,130000,2019-03-09,2019-01-20,2019-03-09,False,False
Tengan Endbringer,TheTwoMind,1,1100,3,4000,2019-03-09,2019-03-02,2019-03-09,False,False
Titanfall,Selector,1,4100,17,72000,2019-03-09,2019-10-04,2019-03-09,False,False
To Fill The Void,that1guy,1,2100,34,61000,2019-03-10,2017-10-12,2019-03-09,False,False
When that mockingbird don&apos;t sing.,Assembly68K,4,6100,4,6100,2019-03-09,2019-02-21,2019-03-09,False,False
When Your Mother is Khepri,Veozar,1,1600,32,63000,2019-03-09,2018-01-20,2019-03-09,False,False
Worm - Justice For All,SeerKing,1,3800,5,23000,2019-03-09,2019-05-09,2019-03-09,False,False
Worm scrapped works in progress,RedLightningD608,1,2900,8,28000,2019-03-10,2019-10-22,2019-03-09,False,False
Worm-in-Waiting,The Watchers Network,1,2400,2,4900,2019-03-09,2019-03-05,2019-03-09,False,False
Born in the Bay,ericwinter,1,966,65,55000,2019-03-10,2019-07-30,2019-03-09,True,False
As Far as the Eye Can See,Leanansidhe,4,4600,4,4600,2019-03-02,2019-03-02,2019-03-02,False,False
Auld Lang Syne,akeetpotato,4,10000,4,10000,2019-03-02,2019-03-02,2019-03-02,False,False
Bunyips and Bushrangers,Mangles,1,1400,1,1400,2019-03-02,2019-03-02,2019-03-02,False,False
Complicated and Dirty,CrazyCog,2,1300,2,1300,2019-03-04,2019-03-03,2019-03-02,False,False
DK in Brockton,draco1557,1,1600,1,1600,2019-03-03,2019-03-02,2019-03-02,False,False
Exploring Escalation,Hogg4,1,265,1,265,2019-03-02,2019-03-02,2019-03-02,False,False
Fort Right,Evadidnutingwrong,1,252,1,252,2019-03-03,2019-03-02,2019-03-02,False,False
Much ado about hearts and other organs,sarahPenguin1234,1,1100,1,1100,2019-03-03,2019-03-02,2019-03-02,False,False
Not Looking Forward To It,Idiom Alpha,1,8800,1,8800,2019-03-02,2019-03-02,2019-03-02,False,False
Save The Girl,Oddly Lionized,1,699,1,699,2019-03-02,2019-03-02,2019-03-02,False,False
Taylor of fallen heroes.,Rider1860,2,1400,2,1400,2019-03-02,2019-03-03,2019-03-02,False,False
Toon-Force Taylor,NotDaedalus,11,11000,11,11000,2019-03-02,2019-03-02,2019-03-02,False,False
Unsung Heroes: All That Glitters...,Zaralann,1,5400,1,5400,2019-03-03,2019-03-03,2019-03-02,False,False
"Worm, except in New Zealand",Axle,1,1100,1,1100,2019-03-02,2019-03-02,2019-03-02,False,False
You Can Be A Hero,LazyLazyManFat,1,5300,1,5300,2019-03-02,2019-03-02,2019-03-02,False,False
a quest for a future undetermined,Rider1860,1,537,1,537,2019-03-04,2019-03-03,2019-03-02,True,False
Villian Quest,Rune_Fireheart,2,4900,2,4900,2019-03-02,2019-03-02,2019-03-02,True,False
Morning runs,Fjodor,1,11000,1,11000,2019-03-02,2019-03-02,2019-03-02,False,True
Forged in Blood and Bone,Vherstinae,1,2700,15,42000,2019-03-02,2016-09-28,2019-03-02,False,False
The Moon,TigerTitian,1,1900,13,28000,2019-03-03,2019-03-27,2019-03-02,False,False
Native,Spktr Alpha,1,1100,4,6100,2019-03-02,2019-11-07,2019-03-02,False,False
Odyssey,Cerulean,1,3100,10,38000,2019-03-02,2016-10-20,2019-03-02,False,False
The Scientist,Numen,1,4100,7,23000,2019-03-02,2019-07-08,2019-03-02,False,False
A Subtle Knife,industrious,1,1900,177,304000,2019-03-02,2015-05-28,2019-03-02,False,False
Symbiosis,Ahriman81,1,1100,3,3400,2019-03-04,2019-09-30,2019-03-02,False,False
To Walk in Shadow,Marsyas,22,85000,22,85000,2019-03-02,2017-08-26,2019-03-02,False,False
Wink,Idiom Alpha,2,7200,10,29000,2019-03-02,2019-07-24,2019-03-02,False,False
Agency,KindaApatheticButNice,1,7000,42,145000,2019-03-02,2017-11-05,2019-03-02,False,False
Are You Ready?,Shokhk,1,1200,6,5700,2019-03-02,2019-01-02,2019-03-02,False,False
Ascendant,EmilyAmbrose,1,992,3,4900,2019-03-02,2019-02-16,2019-03-02,False,False
Beautiful,misha906,1,2100,5,8000,2019-03-02,2019-12-02,2019-03-02,False,False
Butterflies,UncreativeName,2,5600,4,10000,2019-03-02,2019-02-02,2019-03-02,False,False
The Creeping Silence,Old Amsterdam,1,3000,6,20000,2019-03-02,2019-01-09,2019-03-02,False,False
Danse Macabre,Potato Nose,1,2000,26,60000,2019-03-02,2019-05-29,2019-03-02,False,False
Deputy Director,Reyemile,1,4800,24,112000,2019-03-02,2017-10-25,2019-03-02,False,False
The Fly Salesman,Electronic Stars,1,493,3,1000,2019-03-02,2019-02-24,2019-03-02,False,False
The Ghost of Mars,Baked The Author,1,5600,2,11000,2019-03-02,2019-02-26,2019-03-02,False,False
Hand full of Trumps,Pretending To Aspire,8,12000,8,12000,2019-03-02,2019-02-09,2019-03-02,False,False
Hidden in Plain Sight,Beige,1,2400,2,3700,2019-03-02,2019-01-14,2019-03-02,False,False
High Hope,ellfangor8,1,2300,4,8800,2019-03-04,2019-02-13,2019-03-02,False,False
In Vortices of Febrile Dream,PencilMonkey,1,2800,2,8600,2019-03-02,2019-02-25,2019-03-02,False,False
INTERFACE,Baked The Author,1,8900,8,50000,2019-03-02,2019-12-11,2019-03-02,False,False
Kaleidoscope,Viev,1,5000,8,39000,2019-03-03,2019-01-12,2019-03-02,False,False
Lone Wolf,idkusername,1,1900,2,6000,2019-03-02,2019-03-01,2019-03-02,False,False
Man&apos;s Best Friend,Kolibrie,1,1200,18,35000,2019-03-02,2016-10-30,2019-03-02,False,False
A Matter of Lawyers,The Ferryman,1,7000,2,15000,2019-03-02,2019-02-21,2019-03-02,False,False
"Me writing, bitches >:o",OperationArrow,1,1000,6,3100,2019-03-02,2019-04-25,2019-03-02,False,False
MissionSword&apos;s Caught In Your Web,babagaia,4,27000,4,27000,2019-03-02,2019-12-30,2019-03-02,False,False
Mwahahahahahah,Belatordelux,1,738,2,1300,2019-03-03,2019-02-10,2019-03-02,False,False
Outsider Chronicles: Devils Advocate,Dis Lexic,1,4100,12,51000,2019-03-02,2019-10-24,2019-03-02,False,False
Pixel Perfect,Brilliger,1,2100,12,29000,2019-03-02,2019-12-30,2019-03-02,False,False
Price of Blood,Ack,1,7400,19,131000,2019-03-02,2016-11-30,2019-03-02,False,False
PRT Threat Assessment: Expanded Universe,Sora with an S,1,2000,15,39000,2019-03-02,2019-02-25,2019-03-02,False,False
Resonance-Of-Infinite-Struggle,Drawlords,1,1400,5,8100,2019-03-02,2019-01-22,2019-03-02,False,False
Sealed.,Bladeruler,1,2000,22,28000,2019-03-02,2019-01-14,2019-03-02,False,False
Sentinels of Earth Bet,TheWonko,1,4300,4,18000,2019-03-03,2019-12-17,2019-03-02,False,False
She Lives On,Aktm,3,10000,4,12000,2019-03-02,2019-02-28,2019-03-02,False,False
Silence Falls,MrStarbuck,7,46000,7,46000,2019-03-02,2019-12-14,2019-03-02,False,False
